title,release_date,runtime,budget,revenue,popularity,vote_average,vote_count,net_income
The Dark Matter of Love,2012-11-01,93.0,0,0,0.815851,6.5,9.0,0
Out Of The Clear Blue Sky,2012-08-17,107.0,0,0,0.298574,7.5,5.0,0
The Call of the Wild,1976-05-22,94.0,0,0,0.160044,0.0,0.0,0
Taken 3,2014-12-16,109.0,48000000,325771424,18.081483,6.1,2225.0,229771424
Blackhat,2015-01-13,133.0,70000000,17752940,14.932368,5.1,842.0,-122247060
Tiger Eyes,2012-04-04,92.0,0,0,1.731435,5.5,14.0,0
Santa Fe,1951-04-01,88.0,0,0,0.884982,5.8,6.0,0
Memed My Hawk,1984-05-10,110.0,0,0,0.008673,5.0,1.0,0
Let Freedom Ring,1939-02-24,87.0,0,0,0.809578,6.0,1.0,0
Home of the Brave,2004-01-01,75.0,0,0,0.660996,0.0,0.0,0
City Cops,1989-11-18,100.0,0,0,0.085889,7.5,5.0,0
Miami Exposé,1956-09-01,73.0,0,0,0.121358,5.0,2.0,0
Beck 27 - Rum 302,2015-01-01,95.0,0,0,0.566619,6.4,7.0,0
Odd Girl Out,2005-04-04,120.0,0,0,1.400182,5.0,24.0,0
By the Law,1926-01-01,80.0,0,0,0.375273,7.5,4.0,0
Queen Sized,2008-10-06,87.0,0,0,1.089673,3.6,7.0,0
Tru Confessions,2002-04-05,112.0,0,0,0.573647,5.7,10.0,0
All The Fine Young Cannibals,1960-09-15,112.0,0,0,0.315493,4.5,2.0,0
Headfirst,2014-12-26,94.0,0,0,0.071156,6.0,1.0,0
"Eila, Rampe ja Likka",2014-12-26,93.0,0,0,0.239708,5.3,2.0,0
Lady Liberty,1971-01-01,97.0,0,0,0.668865,0.0,0.0,0
Night Train,1959-09-06,93.0,0,0,2.230891,6.3,14.0,0
Jump,1965-06-10,104.0,0,0,0.364454,7.0,2.0,0
Korso,2014-02-28,83.0,0,0,0.190927,5.4,5.0,0
Nocturna,2007-09-06,80.0,0,0,1.7564,5.5,18.0,0
Son of a Gun,2014-10-16,108.0,0,0,12.756464,6.1,284.0,0
The Land,1942-01-02,0.0,0,0,0.021544,0.0,0.0,0
Grass: A Nations Battle for Life,1925-03-20,71.0,0,0,0.19921,8.0,4.0,0
War-Gods of the Deep,1965-05-26,84.0,0,0,1.363235,4.8,16.0,0
That Naughty Girl,1956-04-10,86.0,0,0,0.331038,5.0,1.0,0
The Vixen,1969-11-07,86.0,0,0,0.31337,6.1,4.0,0
The Big Shave,1968-01-01,6.0,0,0,2.116885,6.9,47.0,0
Whats a Nice Girl Like You Doing in a Place Like This?,1963-01-01,9.0,0,0,0.612494,6.1,9.0,0
Terminator Genisys,2015-06-23,126.0,155000000,440603537,30.188198,5.8,3677.0,130603537
Bad Day on the Block,1997-08-22,88.0,0,0,1.122814,5.4,8.0,0
Those Awful Hats,1909-01-25,2.0,0,0,0.680925,6.1,7.0,0
Robin Williams: Weapons of Self Destruction,2009-12-06,90.0,0,0,2.174557,7.5,16.0,0
John Mulaney: New In Town,2012-01-31,60.0,0,0,1.53828,8.0,27.0,0
Come Dance with Me!,1959-12-28,91.0,0,0,0.693065,6.3,3.0,0
Patton Oswalt: Finest Hour,2011-09-05,59.0,0,0,0.129504,8.0,3.0,0
Patton Oswalt: My Weakness Is Strong,2009-08-25,63.0,0,0,0.905823,7.7,9.0,0
Patton Oswalt: Werewolves and Lollipops,2007-07-10,54.0,0,0,0.262641,6.9,4.0,0
Kevin Nealon: Now Hear Me Out!,2009-09-04,72.0,0,0,0.158757,5.5,2.0,0
"Kevin Nealon: Whelmed, But Not Overly",2012-08-04,0.0,0,0,0.578612,5.5,4.0,0
The War at Home,1979-01-01,0.0,0,0,0.040128,8.0,1.0,0
One Bright Shining Moment,2005-09-16,123.0,0,15504,0.037986,0.0,1.0,15504
The Woman in Black 2: Angel of Death,2014-12-30,90.0,1000000,26501323,6.942139,5.0,389.0,24501323
Sherlock Holmes: The Hound of the Baskervilles,1988-08-31,105.0,0,0,1.831212,6.6,23.0,0
Scattered Clouds,1967-11-18,108.0,0,0,0.725312,7.6,5.0,0
Dealin with Idiots,2013-07-12,86.0,0,0,1.369498,5.0,12.0,0
Super Capers,2009-01-01,98.0,0,30955,1.221836,2.5,2.0,30955
Fight for Your Right Revisited,2011-04-22,30.0,0,0,5.184915,6.7,16.0,0
Busting,1974-02-27,92.0,0,0,0.795192,7.7,6.0,0
Comes a Bright Day,2012-02-12,91.0,0,0,4.947552,5.4,18.0,0
Frankenstein,2004-10-05,115.0,0,0,1.215853,6.0,14.0,0
"North and South, Book II",1986-05-04,0.0,0,0,1.080461,6.7,10.0,0
Penthouse North,2013-04-17,90.0,0,0,6.377068,5.5,51.0,0
Johan Falk: GSI - Gruppen för särskilda insatser,2009-06-25,113.0,0,0,1.650679,7.2,12.0,0
Johan Falk: Vapenbröder,2009-09-22,93.0,0,0,1.286971,6.6,9.0,0
Cheeky Girls,2008-07-17,97.0,0,0,1.231199,5.5,8.0,0
Fresh Guacamole,2012-03-02,2.0,0,0,4.406065,7.6,46.0,0
Adam and Dog,2013-02-01,16.0,0,0,1.30961,6.8,20.0,0
Bloodsuckers,2005-07-30,99.0,1700000,0,0.722339,4.4,11.0,-3400000
Poolside,2012-01-01,15.0,400,0,0.088651,9.0,2.0,-800
Stuntwoman,1977-10-05,100.0,0,0,1.43083,5.8,14.0,0
Doodlebug,1997-01-01,3.0,0,0,3.729927,6.6,105.0,0
Jean-Luc Cinema Godard,2009-09-30,24.0,0,0,0.004841,0.0,0.0,0
Tropico,2013-12-05,27.0,0,0,1.759584,8.4,30.0,0
